Lottery.pick.1970,Lottery.pick.1971,Month,Month.ordered.picks.1970,binaryClass
96.0,41.0,12,4,N
304.0,315.0,12,8,N
128.0,208.0,12,6,N
240.0,249.0,12,3,N
135.0,218.0,12,1,N
70.0,181.0,12,6,N
53.0,194.0,12,5,N
162.0,219.0,12,6,N
95.0,2.0,12,10,N
84.0,361.0,12,6,N
173.0,80.0,12,5,N
78.0,239.0,12,3,N
123.0,128.0,12,2,N
16.0,145.0,12,5,N
3.0,192.0,12,2,N
100.0,126.0,12,6,P
