total_loc,blank_loc,comment_loc,code_and_comment_loc,executable_loc,unique_operands,unique_operators,total_operands,total_operators,halstead_vocabulary,halstead_length,halstead_volume,halstead_level,halstead_difficulty,halstead_effort,halstead_error,halstead_time,branch_count,decision_count,call_pairs,condition_count,multiple_condition_count,cyclomatic_complexity,cyclomatic_density,decision_density,design_complexity,design_density,normalized_cyclomatic_complexity,formal_parameters,defects
8.0,3.0,0,0,5.0,4,4,4.0,7.0,8,11.0,22.0,0.5,2.0,44.0,0.0073333,2.4444,0,0,1,0,0,1,0.2,0.0,1,1.0,0.125,0,False
16.0,7.0,1,0,8.0,8,4,9.0,13.0,12,22.0,54.0,0.44444,2.25,121.5,0.018,6.75,0,0,2,0,0,1,0.125,0.0,2,2.0,0.0625,0,False
45.0,23.0,4,0,18.0,19,9,27.0,41.0,28,68.0,226.0,0.15638,6.3947,1445.2105,0.075333,80.2895,8,4,1,4,0,5,0.27778,1.0,1,0.2,0.11111,0,False
10.0,6.0,0,0,4.0,4,4,4.0,7.0,8,11.0,22.0,0.5,2.0,44.0,0.0073333,2.4444,0,0,1,0,0,1,0.25,0.0,1,1.0,0.1,0,False
146.0,35.0,59,0,52.0,68,7,94.0,100.0,75,194.0,837.0,0.20669,4.8382,4049.6029,0.279,224.9779,2,1,1,0,0,2,0.038462,0.0,1,0.5,0.013699,0,False
28.0,14.0,7,0,7.0,11,4,11.0,19.0,15,30.0,81.0,0.5,2.0,162.0,0.027,9.0,0,0,6,0,0,1,0.14286,0.0,6,6.0,0.035714,0,False
112.0,0.0,96,0,16.0,31,6,42.0,49.0,37,91.0,328.0,0.24603,4.0645,1333.1613,0.10933,74.0645,0,0,0,0,0,1,0.0625,0.0,0,0.0,0.0089286,0,False
181.0,75.0,58,1,48.0,87,6,115.0,117.0,93,232.0,1051.0,0.25217,3.9655,4167.7586,0.35033,231.5421,0,0,0,0,0,1,0.020833,0.0,0,0.0,0.0055249,0,True
54.0,25.0,4,0,25.0,23,6,29.0,46.0,29,75.0,252.0,0.26437,3.7826,953.2174,0.084,52.9565,6,3,11,3,1,3,0.12,1.0,11,3.6667,0.055556,0,False
29.0,13.0,3,0,13.0,16,9,31.0,36.0,25,67.0,215.0,0.1147,8.7188,1874.5312,0.071667,104.1406,2,1,1,0,0,2,0.15385,0.0,1,0.5,0.068966,0,False
42.0,18.0,2,0,22.0,18,8,37.0,44.0,26,81.0,263.0,0.12162,8.2222,2162.4444,0.087667,120.1358,6,3,3,3,1,3,0.13636,1.0,3,1.0,0.071429,0,False
86.0,30.0,20,0,36.0,31,11,46.0,76.0,42,122.0,455.0,0.12253,8.1613,3713.3871,0.15167,206.2993,16,8,14,8,2,7,0.19444,1.0,14,2.0,0.081395,0,True
14.0,6.0,0,0,8.0,12,5,18.0,19.0,17,37.0,104.0,0.26667,3.75,390.0,0.034667,21.6667,0,0,0,0,0,1,0.125,0.0,0,0.0,0.071429,0,False
191.0,100.0,13,0,78.0,44,22,132.0,194.0,66,326.0,1365.0,0.030303,33.0,45045.0,0.455,2502.5,48,24,2,23,6,19,0.24359,1.0435,2,0.10526,0.099476,0,True
67.0,28.0,12,0,27.0,34,18,63.0,97.0,52,160.0,632.0,0.059965,16.6765,10539.5294,0.21067,585.5294,20,10,1,9,1,10,0.37037,1.1111,1,0.1,0.14925,0,False
58.0,31.0,3,1,24.0,20,14,36.0,51.0,34,87.0,306.0,0.079365,12.6,3855.6,0.102,214.2,10,5,2,5,2,4,0.16667,1.0,2,0.5,0.068966,0,False
52.0,21.0,8,0,23.0,35,10,49.0,63.0,45,112.0,426.0,0.14286,7.0,2982.0,0.142,165.6667,6,3,4,3,1,3,0.13043,1.0,4,1.3333,0.057692,0,False
12.0,3.0,0,0,9.0,10,8,11.0,18.0,18,29.0,83.0,0.22727,4.4,365.2,0.027667,20.2889,4,2,0,2,0,3,0.33333,1.0,0,0.0,0.25,0,False
31.0,14.0,2,0,15.0,15,10,28.0,38.0,25,66.0,212.0,0.10714,9.3333,1978.6667,0.070667,109.9259,6,3,0,3,1,3,0.2,1.0,0,0.0,0.096774,4,False
290.0,141.0,11,0,138.0,41,20,146.0,243.0,61,389.0,1599.0,0.028082,35.6098,56940.0,0.533,3163.3333,86,43,10,43,14,29,0.21014,1.0,10,0.34483,0.1,0,False
21.0,10.0,2,1,9.0,16,5,20.0,21.0,21,41.0,124.0,0.32,3.125,387.5,0.041333,21.5278,0,0,0,0,0,1,0.11111,0.0,0,0.0,0.047619,3,False
13.0,8.0,0,0,5.0,5,4,6.0,9.0,9,15.0,32.0,0.41667,2.4,76.8,0.010667,4.2667,0,0,1,0,0,1,0.2,0.0,1,1.0,0.076923,0,False
16.0,10.0,0,0,6.0,9,8,10.0,15.0,17,25.0,70.0,0.225,4.4444,311.1111,0.023333,17.284,2,1,1,1,0,2,0.33333,1.0,1,0.5,0.125,0,False
11.0,5.0,0,0,6.0,7,4,7.0,11.0,11,18.0,43.0,0.5,2.0,86.0,0.014333,4.7778,0,0,2,0,0,1,0.16667,0.0,2,2.0,0.090909,0,False
33.0,17.0,0,0,16.0,25,5,30.0,32.0,30,62.0,210.0,0.33333,3.0,630.0,0.07,35.0,0,0,0,0,0,1,0.0625,0.0,0,0.0,0.030303,0,False
14.0,8.0,0,0,6.0,7,4,9.0,11.0,11,20.0,47.0,0.38889,2.5714,120.8571,0.015667,6.7143,0,0,0,0,0,1,0.16667,0.0,0,0.0,0.071429,0,False
47.0,14.0,3,0,30.0,32,7,45.0,57.0,39,102.0,373.0,0.20317,4.9219,1835.8594,0.12433,101.9922,10,5,0,5,2,4,0.13333,1.0,0,0.0,0.085106,0,False
14.0,8.0,0,0,6.0,8,8,12.0,21.0,16,33.0,91.0,0.16667,6.0,546.0,0.030333,30.3333,2,1,1,1,0,2,0.33333,1.0,1,0.5,0.14286,0,False
21.0,5.0,0,0,16.0,8,8,23.0,31.0,16,54.0,149.0,0.086957,11.5,1713.5,0.049667,95.1944,8,4,1,4,1,4,0.25,1.0,1,0.25,0.19048,0,False
73.0,12.0,2,0,59.0,32,13,89.0,119.0,45,208.0,791.0,0.055315,18.0781,14299.7969,0.26367,794.4332,42,21,0,21,3,19,0.32203,1.0,0,0.0,0.26027,0,False
67.0,17.0,3,0,47.0,28,13,70.0,92.0,41,162.0,601.0,0.061538,16.25,9766.25,0.20033,542.5694,20,10,0,10,1,10,0.21277,1.0,0,0.0,0.14925,0,False
18.0,1.0,0,0,17.0,11,9,16.0,25.0,20,41.0,122.0,0.15278,6.5455,798.5455,0.040667,44.3636,8,4,0,4,2,3,0.17647,1.0,0,0.0,0.16667,0,False
20.0,6.0,1,0,13.0,11,7,13.0,23.0,18,36.0,104.0,0.24176,4.1364,430.1818,0.034667,23.899,2,1,5,1,0,2,0.15385,1.0,5,2.5,0.1,0,False
27.0,4.0,5,0,18.0,22,11,30.0,47.0,33,77.0,269.0,0.13333,7.5,2017.5,0.089667,112.0833,8,4,4,4,1,4,0.22222,1.0,4,1.0,0.14815,0,False
250.0,47.0,22,0,181.0,65,28,226.0,357.0,93,583.0,2642.0,0.020544,48.6769,128604.4308,0.88067,7144.6906,78,39,6,35,8,31,0.17127,1.1143,6,0.19355,0.124,0,True
57.0,4.0,1,1,52.0,21,10,53.0,75.0,31,128.0,439.0,0.079245,12.619,5539.7619,0.14633,307.7646,18,9,3,9,4,6,0.11538,1.0,3,0.5,0.10526,0,False
11.0,0.0,0,0,11.0,4,6,5.0,11.0,10,16.0,36.0,0.26667,3.75,135.0,0.012,7.5,4,2,0,2,1,2,0.18182,1.0,0,0.0,0.18182,0,False
252.0,119.0,17,0,116.0,67,20,159.0,242.0,87,401.0,1790.0,0.042138,23.7313,42479.1045,0.59667,2359.9502,70,35,10,35,9,26,0.22414,1.0,10,0.38462,0.10317,0,True
25.0,17.0,0,0,8.0,10,6,11.0,16.0,16,27.0,74.0,0.30303,3.3,244.2,0.024667,13.5667,2,1,0,1,0,2,0.25,1.0,0,0.0,0.08,0,False
13.0,6.0,0,0,7.0,9,4,10.0,13.0,13,23.0,58.0,0.45,2.2222,128.8889,0.019333,7.1605,0,0,1,0,0,1,0.14286,0.0,1,1.0,0.076923,0,False
74.0,31.0,8,0,35.0,24,11,42.0,62.0,35,104.0,369.0,0.1039,9.625,3551.625,0.123,197.3125,24,12,3,12,6,7,0.2,1.0,3,0.42857,0.094595,0,False
52.0,23.0,11,0,18.0,14,17,37.0,62.0,31,99.0,339.0,0.044515,22.4643,7615.3929,0.113,423.0774,8,4,0,3,0,5,0.27778,1.3333,0,0.0,0.096154,3,True
47.0,22.0,5,0,20.0,13,11,38.0,58.0,24,96.0,305.0,0.062201,16.0769,4903.4615,0.10167,272.4145,2,1,5,0,0,2,0.1,0.0,5,2.5,0.042553,3,False
89.0,38.0,6,0,45.0,29,20,75.0,114.0,49,189.0,735.0,0.038667,25.8621,19008.6207,0.245,1056.0345,14,7,5,3,1,7,0.15556,2.3333,5,0.71429,0.078652,0,True
24.0,9.0,1,0,14.0,16,16,25.0,44.0,32,69.0,239.0,0.08,12.5,2987.5,0.079667,165.9722,4,2,2,1,0,3,0.21429,2.0,2,0.66667,0.125,1,False
46.0,24.0,2,0,20.0,15,13,36.0,56.0,28,92.0,306.0,0.064103,15.6,4773.6,0.102,265.2,2,1,2,0,0,2,0.1,0.0,2,1.0,0.043478,0,False
52.0,27.0,7,0,18.0,12,13,29.0,57.0,25,86.0,276.0,0.06366,15.7083,4335.5,0.092,240.8611,8,4,0,3,0,5,0.27778,1.3333,0,0.0,0.096154,3,False
68.0,25.0,16,16,27.0,38,5,103.0,105.0,43,208.0,782.0,0.14757,6.7763,5299.0789,0.26067,294.3933,0,0,0,0,0,1,0.037037,0.0,0,0.0,0.014706,0,False
75.0,25.0,16,16,34.0,43,10,111.0,123.0,53,234.0,929.0,0.077477,12.907,11990.5814,0.30967,666.1434,4,2,1,2,1,2,0.058824,1.0,1,0.5,0.026667,0,False
6.0,3.0,0,0,3.0,5,6,5.0,10.0,11,15.0,35.0,0.33333,3.0,105.0,0.011667,5.8333,0,0,1,0,0,1,0.33333,0.0,1,1.0,0.16667,0,False
16.0,4.0,3,0,9.0,7,12,14.0,29.0,19,43.0,126.0,0.083333,12.0,1512.0,0.042,84.0,4,2,0,1,0,3,0.33333,2.0,0,0.0,0.1875,2,False
22.0,3.0,0,0,19.0,23,4,35.0,37.0,27,72.0,237.0,0.32857,3.0435,721.3043,0.079,40.0725,0,0,0,0,0,1,0.052632,0.0,0,0.0,0.045455,0,False
47.0,22.0,6,0,19.0,17,17,36.0,61.0,34,97.0,342.0,0.055556,18.0,6156.0,0.114,342.0,10,5,1,4,1,5,0.26316,1.25,1,0.2,0.10638,0,True
50.0,25.0,1,0,24.0,14,14,26.0,51.0,28,77.0,256.0,0.076923,13.0,3328.0,0.085333,184.8889,12,6,1,5,1,6,0.25,1.2,1,0.16667,0.12,0,True
128.0,73.0,3,0,52.0,26,16,72.0,108.0,42,180.0,672.0,0.045139,22.1538,14887.3846,0.224,827.0769,28,14,1,13,3,12,0.23077,1.0769,1,0.083333,0.09375,0,False
136.0,64.0,4,0,68.0,28,13,68.0,117.0,41,185.0,687.0,0.063348,15.7857,10844.7857,0.229,602.4881,44,22,1,22,8,14,0.20588,1.0,1,0.071429,0.10294,0,False
71.0,39.0,1,0,31.0,28,14,87.0,126.0,42,213.0,796.0,0.045977,21.75,17313.0,0.26533,961.8333,20,10,0,10,1,10,0.32258,1.0,0,0.0,0.14085,0,False
244.0,84.0,46,1,114.0,45,17,232.0,380.0,62,612.0,2525.0,0.022819,43.8222,110651.1111,0.84167,6147.284,76,38,0,38,17,22,0.19298,1.0,0,0.0,0.090164,0,True
22.0,6.0,11,0,5.0,4,7,7.0,11.0,11,18.0,43.0,0.16327,6.125,263.375,0.014333,14.6319,2,1,0,0,0,2,0.4,0.0,0,0.0,0.090909,1,False
25.0,5.0,0,0,20.0,8,10,41.0,62.0,18,103.0,297.0,0.039024,25.625,7610.625,0.099,422.8125,16,8,0,8,4,5,0.25,1.0,0,0.0,0.2,1,False
26.0,13.0,3,0,10.0,6,5,6.0,14.0,11,20.0,47.0,0.4,2.5,117.5,0.015667,6.5278,4,2,3,2,1,2,0.2,1.0,3,1.5,0.076923,0,False
61.0,21.0,6,0,34.0,21,12,30.0,54.0,33,84.0,293.0,0.11667,8.5714,2511.4286,0.097667,139.5238,18,9,3,9,2,7,0.20588,1.0,3,0.42857,0.11475,0,False
112.0,52.0,4,0,56.0,45,15,76.0,115.0,60,191.0,782.0,0.078947,12.6667,9905.3333,0.26067,550.2963,36,18,5,18,7,12,0.21429,1.0,5,0.41667,0.10714,0,False
131.0,59.0,13,0,59.0,44,17,87.0,139.0,61,226.0,929.0,0.0595,16.8068,15613.5341,0.30967,867.4186,40,20,5,20,7,14,0.23729,1.0,5,0.35714,0.10687,0,False
153.0,64.0,28,0,61.0,22,14,81.0,132.0,36,213.0,763.0,0.038801,25.7727,19664.5909,0.25433,1092.4773,44,22,4,22,7,16,0.2623,1.0,4,0.25,0.10458,0,False
82.0,36.0,6,0,40.0,30,12,52.0,78.0,42,130.0,485.0,0.096154,10.4,5044.0,0.16167,280.2222,30,15,4,15,6,10,0.25,1.0,4,0.4,0.12195,0,False
121.0,56.0,12,0,53.0,35,19,80.0,113.0,54,193.0,769.0,0.046053,21.7143,16698.2857,0.25633,927.6825,26,13,6,13,3,10,0.18868,1.0,6,0.6,0.082645,3,False
269.0,112.0,30,0,127.0,50,26,168.0,267.0,76,435.0,1883.0,0.022894,43.68,82249.44,0.62767,4569.4133,64,32,8,32,10,22,0.17323,1.0,8,0.36364,0.081784,0,True
324.0,142.0,38,1,144.0,94,21,261.0,401.0,115,662.0,3141.0,0.0343,29.1543,91573.516,1.047,5087.4176,82,41,6,41,5,37,0.25694,1.0,6,0.16216,0.1142,1,True
114.0,24.0,27,0,63.0,29,12,61.0,98.0,41,159.0,590.0,0.079235,12.6207,7446.2069,0.19667,413.6782,44,22,0,22,10,13,0.20635,1.0,0,0.0,0.11404,0,True
68.0,29.0,1,0,38.0,30,14,60.0,95.0,44,155.0,586.0,0.071429,14.0,8204.0,0.19533,455.7778,32,16,3,16,7,10,0.26316,1.0,3,0.3,0.14706,0,False
149.0,72.0,16,0,61.0,46,17,114.0,170.0,63,284.0,1176.0,0.047472,21.0652,24772.6957,0.392,1376.2609,42,21,1,21,6,16,0.2623,1.0,1,0.0625,0.10738,0,False
27.0,9.0,1,0,17.0,19,9,21.0,35.0,28,56.0,186.0,0.20106,4.9737,925.1053,0.062,51.3947,6,3,3,3,1,3,0.17647,1.0,3,1.0,0.11111,0,True
51.0,21.0,3,0,27.0,30,4,53.0,55.0,34,108.0,380.0,0.28302,3.5333,1342.6667,0.12667,74.5926,0,0,0,0,0,1,0.037037,0.0,0,0.0,0.019608,0,False
32.0,11.0,3,0,18.0,7,16,20.0,42.0,23,62.0,194.0,0.04375,22.8571,4434.2857,0.064667,246.3492,10,5,0,4,1,5,0.27778,1.25,0,0.0,0.15625,2,False
71.0,27.0,9,0,35.0,19,16,53.0,80.0,35,133.0,472.0,0.044811,22.3158,10533.0526,0.15733,585.1696,12,6,0,5,1,6,0.17143,1.2,0,0.0,0.084507,0,False
79.0,40.0,5,0,34.0,23,10,52.0,79.0,33,131.0,458.0,0.088462,11.3043,5177.3913,0.15267,287.6329,18,9,2,9,2,8,0.23529,1.0,2,0.25,0.10127,0,False
19.0,8.0,0,0,11.0,8,14,19.0,29.0,22,48.0,148.0,0.06015,16.625,2460.5,0.049333,136.6944,4,2,0,1,0,3,0.27273,2.0,0,0.0,0.15789,2,False
119.0,59.0,13,0,47.0,20,23,68.0,107.0,43,175.0,658.0,0.025575,39.1,25727.8,0.21933,1429.3222,22,11,2,10,2,10,0.21277,1.1,2,0.2,0.084034,0,False
9.0,2.0,0,0,7.0,5,6,6.0,11.0,11,17.0,40.0,0.27778,3.6,144.0,0.013333,8.0,2,1,1,1,0,2,0.28571,1.0,1,0.5,0.22222,0,False
