group,conc,age,at.risk,binaryClass
37,650.0,32.5,186.0,P
37,650.0,37.5,148.0,P
37,650.0,42.5,178.0,P
37,650.0,47.5,233.0,P
37,650.0,52.5,227.0,P
37,650.0,57.5,156.0,P
37,650.0,62.5,122.0,P
37,650.0,67.5,88.0,P
37,650.0,72.5,57.0,P
37,650.0,77.5,46.0,P
37,650.0,82.5,19.0,P
38,683.0,22.5,878.0,P
38,683.0,27.5,329.0,P
38,683.0,32.5,200.0,P
38,683.0,37.5,264.0,P
38,683.0,42.5,316.0,P
38,683.0,47.5,299.0,P
38,683.0,52.5,247.0,P
38,683.0,57.5,195.0,P
38,683.0,62.5,172.0,P
38,683.0,67.5,128.0,P
38,683.0,72.5,84.0,P
38,683.0,77.5,33.0,P
38,683.0,82.5,10.0,P
39,693.0,22.5,2567.0,P
39,693.0,27.5,1759.0,P
39,693.0,32.5,1537.0,P
39,693.0,37.5,1037.0,P
39,693.0,42.5,1057.0,P
39,693.0,47.5,1033.0,P
39,693.0,52.5,690.0,P
39,693.0,57.5,591.0,P
39,693.0,62.5,420.0,P
39,693.0,67.5,206.0,P
39,693.0,72.5,167.0,P
39,693.0,77.5,45.0,P
39,693.0,82.5,14.0,P
40,694.0,22.5,1817.0,P
40,694.0,27.5,1024.0,P
40,694.0,32.5,598.0,P
40,694.0,37.5,573.0,P
40,694.0,42.5,683.0,P
40,694.0,47.5,679.0,P
40,694.0,52.5,525.0,P
40,694.0,57.5,418.0,P
40,694.0,62.5,308.0,P
40,694.0,67.5,193.0,P
40,694.0,72.5,118.0,P
40,694.0,77.5,46.0,P
40,694.0,82.5,28.0,P
41,698.0,22.5,1085.0,P
41,698.0,27.5,617.0,P
41,698.0,32.5,390.0,P
41,698.0,37.5,361.0,P
41,698.0,42.5,395.0,P
41,698.0,47.5,339.0,P
41,698.0,52.5,337.0,P
41,698.0,57.5,275.0,P
41,698.0,62.5,195.0,P
41,698.0,67.5,167.0,P
41,698.0,72.5,102.0,P
41,698.0,77.5,37.0,P
41,698.0,82.5,10.0,P
42,717.0,22.5,1425.0,P
42,717.0,27.5,849.0,P
42,717.0,32.5,509.0,P
42,717.0,37.5,463.0,P
42,717.0,42.5,530.0,P
42,717.0,47.5,501.0,P
42,717.0,52.5,473.0,P
42,717.0,57.5,334.0,P
42,717.0,62.5,269.0,P
42,717.0,67.5,212.0,P
42,717.0,72.5,133.0,P
42,717.0,77.5,80.0,P
42,717.0,82.5,37.0,P
43,934.0,22.5,2085.0,P
43,934.0,27.5,1209.0,P
43,934.0,32.5,1087.0,P
43,934.0,37.5,745.0,P
43,934.0,42.5,693.0,P
43,934.0,47.5,739.0,P
43,934.0,52.5,616.0,P
43,934.0,57.5,513.0,P
43,934.0,62.5,342.0,P
43,934.0,67.5,154.0,P
43,934.0,72.5,87.0,P
43,934.0,77.5,30.0,P
43,934.0,82.5,41.0,P
