Number_seasons,Games_played,At_bats,Runs,Hits,Doubles,Triples,Home_runs,RBIs,Walks,Strikeouts,Batting_average,On_base_pct,Slugging_pct,Fielding_ave,Position,binaryClass
16,1913.0,7182.0,1048.0,2004.0,320.0,77.0,32.0,591.0,827.0,487.0,0.279,0.355,0.358,0.944,Shortstop,N
16,2019.0,7060.0,982.0,1790.0,289.0,38.0,242.0,1039.0,1031.0,923.0,0.254,0.355,0.408,0.959,Third_base,P
19,2528.0,9421.0,1305.0,2583.0,407.0,90.0,512.0,1636.0,763.0,1236.0,0.274,0.333,0.5,0.994,First_base,N
12,972.0,3007.0,430.0,811.0,143.0,28.0,19.0,288.0,292.0,318.0,0.27,0.337,0.355,0.983,Outfield,P
12,1428.0,4759.0,715.0,1219.0,216.0,30.0,241.0,716.0,551.0,1234.0,0.256,0.338,0.466,0.98,Outfield,P
10,866.0,3306.0,580.0,962.0,83.0,47.0,16.0,255.0,440.0,,0.291,0.379,0.359,0.954,Outfield,P
10,941.0,3378.0,418.0,938.0,163.0,9.0,18.0,314.0,304.0,209.0,0.278,0.34,0.347,0.986,Second_base,P
10,1100.0,4014.0,516.0,1073.0,128.0,47.0,10.0,391.0,279.0,,0.267,0.32,0.33,0.955,Outfield,P
11,1223.0,4146.0,532.0,1009.0,142.0,38.0,10.0,429.0,396.0,142.0,0.243,0.321,0.303,0.935,Shortstop,P
18,2016.0,7629.0,1130.0,2165.0,442.0,71.0,79.0,710.0,748.0,627.0,0.284,0.355,0.391,0.953,Shortstop,P
10,393.0,1049.0,54.0,237.0,31.0,3.0,9.0,66.0,87.0,168.0,0.226,0.288,0.287,0.987,Catcher,P
10,1017.0,3330.0,250.0,765.0,123.0,18.0,81.0,375.0,172.0,610.0,0.23,0.273,0.35,0.982,Catcher,P
13,1141.0,3586.0,393.0,969.0,150.0,17.0,104.0,449.0,421.0,470.0,0.27,0.351,0.409,0.99,Catcher,P
10,546.0,1605.0,163.0,432.0,95.0,11.0,26.0,220.0,143.0,163.0,0.269,0.33,0.391,0.983,Catcher,P
14,1544.0,5145.0,833.0,1424.0,229.0,57.0,164.0,703.0,521.0,638.0,0.277,0.347,0.439,0.982,Outfield,P
10,1019.0,3477.0,450.0,1010.0,165.0,51.0,25.0,272.0,258.0,258.0,0.29,0.342,0.389,0.98,Outfield,P
19,2292.0,8198.0,1236.0,2135.0,366.0,28.0,338.0,1276.0,805.0,1069.0,0.26,0.346,0.436,0.977,Designated_hitter,P
10,393.0,661.0,79.0,153.0,18.0,4.0,14.0,90.0,54.0,150.0,0.231,0.292,0.334,0.98,First_base,P
12,1463.0,5660.0,955.0,1759.0,182.0,82.0,39.0,617.0,425.0,14.0,0.311,0.362,0.393,0.956,Outfield,P
11,1320.0,5208.0,685.0,1473.0,196.0,31.0,22.0,360.0,260.0,243.0,0.283,0.319,0.345,0.973,Second_base,P
20,2386.0,9526.0,1600.0,2930.0,473.0,243.0,86.0,1575.0,616.0,270.0,0.308,0.361,0.435,0.981,First_base,N
18,2016.0,5784.0,676.0,1316.0,175.0,33.0,20.0,389.0,576.0,839.0,0.228,0.302,0.28,0.977,Shortstop,P
18,2405.0,8995.0,1151.0,2514.0,425.0,56.0,201.0,1106.0,836.0,776.0,0.279,0.343,0.406,0.964,Third_base,P
15,1741.0,6478.0,865.0,1823.0,311.0,66.0,206.0,942.0,470.0,636.0,0.281,0.333,0.445,0.985,Outfield,P
17,2158.0,7658.0,1091.0,2048.0,381.0,24.0,389.0,1376.0,891.0,1278.0,0.267,0.345,0.476,0.99,Catcher,N
12,982.0,2878.0,214.0,696.0,98.0,6.0,18.0,260.0,328.0,251.0,0.242,0.322,0.299,0.99,Catcher,P
10,411.0,1125.0,83.0,287.0,46.0,12.0,0.0,108.0,62.0,45.0,0.255,0.295,0.317,0.988,Catcher,P
17,1500.0,4651.0,610.0,1274.0,190.0,30.0,79.0,476.0,349.0,551.0,0.274,0.329,0.379,0.977,Outfield,P
15,1062.0,3821.0,549.0,978.0,203.0,67.0,55.0,533.0,478.0,572.0,0.256,0.34,0.387,0.942,Catcher,P
11,912.0,3028.0,334.0,755.0,167.0,23.0,36.0,387.0,284.0,268.0,0.249,0.316,0.355,0.968,Second_base,P
15,663.0,1813.0,150.0,441.0,71.0,6.0,6.0,206.0,78.0,117.0,0.243,0.278,0.299,0.986,Catcher,P
11,947.0,3028.0,138.0,516.0,45.0,21.0,2.0,193.0,88.0,81.0,0.17,0.194,0.201,0.972,Catcher,P
11,1350.0,5163.0,809.0,1550.0,299.0,59.0,242.0,898.0,435.0,694.0,0.3,0.359,0.522,0.974,Outfield,P
17,1349.0,2679.0,312.0,690.0,100.0,16.0,54.0,289.0,380.0,347.0,0.258,0.351,0.367,0.992,First_base,P
10,1071.0,3700.0,523.0,970.0,177.0,30.0,75.0,391.0,428.0,606.0,0.262,0.341,0.387,0.978,Second_base,P
11,853.0,2553.0,236.0,603.0,109.0,9.0,49.0,278.0,210.0,422.0,0.236,0.297,0.344,0.959,Shortstop,P
19,2120.0,7555.0,1175.0,2150.0,321.0,49.0,358.0,1430.0,704.0,414.0,0.285,0.35,0.482,0.989,Catcher,N
11,561.0,1330.0,96.0,287.0,37.0,3.0,3.0,78.0,76.0,134.0,0.216,0.26,0.255,0.989,Catcher,P
14,1383.0,4136.0,422.0,1053.0,150.0,23.0,58.0,343.0,298.0,569.0,0.255,0.309,0.344,0.989,Outfield,P
11,709.0,2018.0,196.0,539.0,88.0,29.0,23.0,256.0,160.0,196.0,0.267,0.322,0.374,0.982,Catcher,P
10,612.0,1745.0,204.0,425.0,60.0,10.0,27.0,171.0,142.0,252.0,0.244,0.306,0.336,0.949,Third_base,P
11,1228.0,4536.0,749.0,1171.0,190.0,74.0,28.0,345.0,619.0,451.0,0.258,0.353,0.351,0.96,Outfield,P
15,970.0,2117.0,214.0,499.0,90.0,11.0,27.0,275.0,221.0,329.0,0.236,0.309,0.327,0.938,Third_base,P
13,1383.0,5706.0,819.0,1521.0,208.0,95.0,33.0,706.0,268.0,129.0,0.267,0.301,0.354,0.935,Second_base,P
11,1147.0,4192.0,629.0,1205.0,139.0,75.0,17.0,324.0,344.0,161.0,0.287,0.345,0.369,0.966,Outfield,P
14,1217.0,3151.0,310.0,861.0,144.0,20.0,29.0,354.0,236.0,287.0,0.273,0.326,0.359,0.97,Outfield,P
10,600.0,1738.0,220.0,432.0,85.0,13.0,76.0,276.0,234.0,395.0,0.249,0.339,0.444,0.992,First_base,P
11,243.0,488.0,44.0,106.0,12.0,5.0,0.0,29.0,23.0,73.0,0.217,0.268,0.262,0.964,Catcher,P
12,1338.0,4494.0,966.0,1216.0,236.0,35.0,41.0,379.0,1153.0,452.0,0.271,0.423,0.366,0.976,Second_base,P
10,767.0,2415.0,467.0,726.0,133.0,51.0,50.0,340.0,331.0,310.0,0.301,0.395,0.46,0.963,Outfield,P
17,1947.0,6042.0,776.0,1513.0,282.0,55.0,134.0,620.0,449.0,877.0,0.25,0.305,0.382,0.988,Outfield,P
12,1444.0,5296.0,731.0,1366.0,178.0,62.0,21.0,308.0,552.0,462.0,0.258,0.33,0.327,0.979,Second_base,P
11,1002.0,3519.0,347.0,874.0,160.0,20.0,62.0,451.0,202.0,407.0,0.248,0.292,0.358,0.975,Second_base,P
13,1615.0,5904.0,1151.0,1696.0,319.0,109.0,44.0,695.0,1092.0,436.0,0.287,0.402,0.401,0.989,First_base,P
18,1867.0,6440.0,883.0,1751.0,276.0,67.0,43.0,848.0,723.0,515.0,0.272,0.352,0.356,0.957,Third_base,P
12,551.0,1462.0,117.0,320.0,56.0,5.0,26.0,148.0,96.0,246.0,0.219,0.269,0.317,0.984,Catcher,P
12,1538.0,5233.0,643.0,1478.0,250.0,21.0,100.0,658.0,653.0,662.0,0.282,0.363,0.396,0.992,First_base,P
12,1540.0,5562.0,692.0,1415.0,221.0,40.0,106.0,556.0,462.0,558.0,0.254,0.315,0.366,0.982,Second_base,P
14,1849.0,7043.0,1258.0,1886.0,302.0,66.0,332.0,1024.0,914.0,1757.0,0.268,0.356,0.471,0.977,Outfield,P
10,976.0,3068.0,363.0,833.0,143.0,24.0,56.0,355.0,229.0,387.0,0.272,0.325,0.389,0.982,Outfield,P
13,1373.0,4589.0,645.0,1260.0,162.0,46.0,151.0,737.0,608.0,463.0,0.275,0.363,0.429,0.958,Third_base,P
19,2264.0,7245.0,679.0,1838.0,303.0,26.0,105.0,826.0,663.0,608.0,0.254,0.318,0.346,0.986,Catcher,P
11,930.0,2632.0,410.0,745.0,120.0,28.0,14.0,270.0,173.0,186.0,0.283,0.331,0.366,0.982,Outfield,P
14,784.0,1581.0,183.0,430.0,50.0,12.0,20.0,158.0,143.0,275.0,0.272,0.333,0.357,0.972,Outfield,P
11,930.0,2517.0,266.0,625.0,91.0,19.0,31.0,244.0,240.0,239.0,0.248,0.316,0.337,0.979,Second_base,P
16,1991.0,7471.0,1177.0,2313.0,465.0,151.0,219.0,1422.0,664.0,591.0,0.31,0.369,0.5,0.988,First_base,N
15,1646.0,6029.0,861.0,1779.0,385.0,66.0,68.0,789.0,796.0,309.0,0.295,0.38,0.415,0.973,Shortstop,N
16,2247.0,8418.0,987.0,2191.0,262.0,99.0,15.0,525.0,474.0,569.0,0.26,0.301,0.32,0.98,Shortstop,P
15,1045.0,3401.0,343.0,852.0,102.0,38.0,13.0,392.0,129.0,0.0,0.251,0.286,0.314,0.963,Catcher,P
16,1725.0,5780.0,645.0,1396.0,200.0,33.0,162.0,654.0,470.0,931.0,0.242,0.301,0.372,0.965,Third_base,P
15,2034.0,7455.0,1104.0,2143.0,318.0,68.0,282.0,1141.0,713.0,1017.0,0.287,0.351,0.462,0.952,Third_base,P
13,1086.0,4222.0,668.0,1067.0,137.0,53.0,24.0,528.0,328.0,233.0,0.253,0.315,0.32,0.929,Catcher,P
11,697.0,1605.0,224.0,363.0,50.0,8.0,52.0,175.0,184.0,411.0,0.226,0.313,0.364,0.971,Outfield,P
14,1461.0,5430.0,754.0,1471.0,275.0,84.0,33.0,552.0,290.0,18.0,0.271,0.317,0.371,0.933,Third_base,P
11,1221.0,3895.0,540.0,1020.0,175.0,37.0,112.0,485.0,351.0,574.0,0.262,0.325,0.412,0.98,Outfield,P
12,1330.0,4999.0,529.0,1351.0,225.0,75.0,13.0,637.0,221.0,41.0,0.27,0.304,0.353,0.983,First_base,P
15,1425.0,3650.0,466.0,989.0,155.0,19.0,52.0,388.0,579.0,433.0,0.271,0.373,0.367,0.973,Outfield,P
17,1446.0,4481.0,682.0,1252.0,218.0,71.0,26.0,530.0,714.0,99.0,0.279,0.385,0.377,0.971,Catcher,N
19,1305.0,3881.0,544.0,1170.0,164.0,87.0,32.0,586.0,449.0,246.0,0.301,0.378,0.413,0.971,Outfield,P
12,1186.0,3672.0,443.0,925.0,184.0,40.0,94.0,365.0,359.0,723.0,0.252,0.321,0.401,0.963,Shortstop,P
11,919.0,2272.0,245.0,562.0,80.0,11.0,16.0,187.0,205.0,229.0,0.247,0.312,0.313,0.968,Shortstop,P
11,1252.0,4169.0,457.0,1064.0,95.0,32.0,2.0,348.0,557.0,98.0,0.255,0.347,0.295,0.939,Shortstop,P
12,1366.0,4117.0,601.0,1041.0,170.0,43.0,139.0,507.0,663.0,785.0,0.253,0.357,0.416,0.973,Outfield,P
15,1845.0,6045.0,550.0,1355.0,201.0,38.0,60.0,461.0,444.0,845.0,0.224,0.282,0.3,0.97,Shortstop,P
10,1013.0,3202.0,420.0,794.0,141.0,6.0,110.0,462.0,434.0,469.0,0.248,0.34,0.399,0.994,First_base,P
19,2616.0,10332.0,1610.0,3023.0,486.0,141.0,149.0,900.0,761.0,1730.0,0.293,0.344,0.41,0.959,Outfield,N
12,1437.0,5699.0,886.0,1726.0,191.0,89.0,25.0,900.0,420.0,148.0,0.303,0.364,0.381,0.959,Outfield,P
12,1336.0,3865.0,477.0,950.0,175.0,40.0,71.0,431.0,281.0,605.0,0.246,0.299,0.367,0.943,Third_base,P
19,1673.0,6711.0,1523.0,2296.0,460.0,205.0,106.0,1296.0,840.0,238.0,0.342,0.423,0.519,0.971,First_base,N
12,1129.0,3449.0,331.0,803.0,108.0,13.0,47.0,254.0,317.0,414.0,0.233,0.301,0.313,0.964,Shortstop,P
13,1221.0,3642.0,404.0,964.0,144.0,11.0,102.0,454.0,314.0,616.0,0.265,0.326,0.394,0.977,Outfield,P
17,1786.0,7363.0,1521.0,1952.0,239.0,138.0,64.0,529.0,748.0,708.0,0.265,0.337,0.361,0.89,Outfield,P
13,1051.0,2262.0,330.0,582.0,78.0,19.0,84.0,322.0,242.0,275.0,0.257,0.333,0.42,0.977,Outfield,P
12,1102.0,4300.0,614.0,1176.0,119.0,55.0,18.0,303.0,259.0,1.0,0.273,0.317,0.339,0.927,Outfield,P
13,1183.0,4820.0,954.0,1646.0,295.0,85.0,46.0,353.0,466.0,167.0,0.341,0.403,0.467,0.883,Outfield,P
10,479.0,1564.0,208.0,413.0,85.0,10.0,22.0,225.0,151.0,239.0,0.264,0.333,0.373,0.938,Third_base,P
12,1610.0,6056.0,937.0,1651.0,241.0,102.0,94.0,545.0,482.0,793.0,0.273,0.329,0.393,0.981,Outfield,P
22,2517.0,9397.0,1077.0,2715.0,498.0,49.0,174.0,1208.0,450.0,453.0,0.289,0.324,0.408,0.992,First_base,P
10,1286.0,4553.0,718.0,1203.0,157.0,44.0,93.0,418.0,672.0,575.0,0.264,0.364,0.379,0.988,Outfield,P
14,1496.0,5053.0,778.0,1422.0,220.0,52.0,54.0,402.0,471.0,709.0,0.281,0.345,0.378,0.986,Outfield,P
14,960.0,3873.0,578.0,944.0,131.0,40.0,15.0,390.0,128.0,305.0,0.244,0.27,0.31,0.912,Second_base,P
18,1691.0,4471.0,485.0,1318.0,230.0,33.0,126.0,673.0,477.0,270.0,0.295,0.364,0.446,0.988,Catcher,P
16,2066.0,8421.0,1720.0,2850.0,320.0,182.0,75.0,952.0,1029.0,230.0,0.338,0.415,0.446,0.917,Outfield,N
13,1346.0,5139.0,656.0,1401.0,256.0,23.0,50.0,449.0,420.0,477.0,0.273,0.331,0.361,0.971,Shortstop,P
16,1866.0,6573.0,901.0,2018.0,444.0,72.0,72.0,951.0,363.0,433.0,0.307,0.354,0.429,0.987,First_base,P
15,1853.0,7241.0,1188.0,2077.0,362.0,108.0,41.0,611.0,872.0,565.0,0.287,0.366,0.384,0.97,Outfield,P
13,1251.0,4920.0,722.0,1299.0,236.0,69.0,39.0,683.0,270.0,454.0,0.264,0.303,0.364,0.886,Third_base,P
11,1187.0,4637.0,869.0,1389.0,224.0,129.0,65.0,673.0,464.0,182.0,0.3,0.368,0.446,0.92,Outfield,P
16,1689.0,5536.0,720.0,1443.0,230.0,20.0,240.0,882.0,831.0,1135.0,0.261,0.359,0.439,0.974,Outfield,P
13,1352.0,4250.0,541.0,1113.0,162.0,35.0,48.0,438.0,310.0,439.0,0.262,0.316,0.35,0.988,Outfield,P
16,1946.0,7210.0,1280.0,1804.0,186.0,74.0,9.0,436.0,1158.0,346.0,0.25,0.356,0.3,0.936,Shortstop,P
12,671.0,2392.0,287.0,511.0,58.0,12.0,2.0,106.0,124.0,97.0,0.214,0.254,0.25,0.916,Catcher,P
11,1283.0,4831.0,667.0,1225.0,186.0,60.0,10.0,329.0,456.0,220.0,0.254,0.324,0.323,0.934,Third_base,P
15,1688.0,5952.0,753.0,1647.0,263.0,56.0,60.0,596.0,259.0,691.0,0.277,0.309,0.37,0.944,Third_base,P
13,923.0,3295.0,442.0,901.0,135.0,46.0,11.0,394.0,159.0,9.0,0.273,0.311,0.352,0.953,Outfield,P
16,1886.0,6652.0,926.0,1757.0,321.0,89.0,226.0,840.0,650.0,1064.0,0.264,0.333,0.441,0.984,Outfield,P
12,1490.0,5353.0,936.0,1482.0,261.0,86.0,239.0,950.0,947.0,961.0,0.277,0.388,0.492,0.99,First_base,P
10,1215.0,4205.0,627.0,1161.0,178.0,18.0,242.0,856.0,533.0,501.0,0.276,0.362,0.5,0.988,Catcher,N
19,2328.0,8684.0,1181.0,2249.0,313.0,86.0,79.0,646.0,618.0,1142.0,0.259,0.313,0.342,0.964,Shortstop,P
13,1360.0,4762.0,759.0,1382.0,295.0,87.0,106.0,766.0,548.0,584.0,0.29,0.367,0.455,0.956,Outfield,P
13,740.0,1950.0,132.0,458.0,66.0,12.0,18.0,169.0,241.0,354.0,0.235,0.321,0.309,0.983,Catcher,P
12,1010.0,2733.0,372.0,722.0,140.0,9.0,96.0,358.0,538.0,611.0,0.264,0.389,0.427,0.978,Outfield,P
18,2017.0,6964.0,936.0,1913.0,333.0,46.0,138.0,775.0,608.0,807.0,0.275,0.335,0.395,0.976,Outfield,P
16,1941.0,6707.0,662.0,1725.0,285.0,49.0,118.0,689.0,522.0,1135.0,0.257,0.313,0.367,0.971,Shortstop,P
19,2469.0,9315.0,1424.0,3053.0,445.0,112.0,92.0,1015.0,1018.0,1028.0,0.328,0.395,0.429,0.991,First_base,N
11,938.0,2850.0,371.0,741.0,119.0,38.0,64.0,350.0,268.0,389.0,0.26,0.329,0.396,0.958,Third_base,P
20,2476.0,9363.0,1545.0,2665.0,419.0,159.0,70.0,800.0,1040.0,695.0,0.285,0.361,0.386,0.966,Outfield,N
12,1118.0,4638.0,720.0,1201.0,142.0,47.0,18.0,204.0,111.0,91.0,0.259,0.281,0.321,0.853,Third_base,P
10,1325.0,4644.0,568.0,1199.0,172.0,25.0,55.0,474.0,491.0,467.0,0.258,0.334,0.342,0.969,Shortstop,P
10,709.0,1970.0,194.0,506.0,67.0,14.0,6.0,235.0,206.0,59.0,0.257,0.334,0.314,0.971,Catcher,P
11,991.0,3972.0,729.0,995.0,125.0,47.0,31.0,423.0,361.0,290.0,0.251,0.32,0.329,0.905,Outfield,P
19,2296.0,7971.0,1025.0,2092.0,371.0,31.0,324.0,1225.0,848.0,997.0,0.262,0.338,0.439,0.991,Catcher,P
15,1651.0,5606.0,712.0,1677.0,278.0,17.0,204.0,890.0,642.0,663.0,0.299,0.372,0.464,0.97,Outfield,P
10,705.0,2465.0,508.0,694.0,104.0,50.0,29.0,213.0,417.0,79.0,0.282,0.391,0.4,0.875,Outfield,P
10,859.0,2786.0,214.0,627.0,87.0,12.0,50.0,252.0,101.0,430.0,0.225,0.254,0.319,0.985,Catcher,P
11,1226.0,5016.0,785.0,1415.0,233.0,43.0,21.0,377.0,426.0,297.0,0.282,0.341,0.358,0.97,Outfield,P
10,1114.0,4341.0,584.0,1122.0,137.0,52.0,9.0,354.0,270.0,,0.258,0.31,0.32,0.915,Third_base,P
12,1422.0,5554.0,732.0,1571.0,243.0,56.0,21.0,426.0,424.0,309.0,0.283,0.336,0.358,0.984,Second_base,P
17,2089.0,6705.0,1046.0,1820.0,241.0,41.0,377.0,1103.0,1043.0,1091.0,0.271,0.377,0.488,0.992,First_base,P
10,587.0,2454.0,336.0,618.0,83.0,31.0,4.0,156.0,84.0,127.0,0.252,0.278,0.316,0.845,Outfield,P
10,631.0,1519.0,190.0,383.0,71.0,8.0,55.0,197.0,90.0,291.0,0.252,0.3,0.418,0.953,Outfield,P
12,1289.0,4451.0,491.0,1229.0,191.0,29.0,66.0,519.0,254.0,406.0,0.276,0.318,0.377,0.994,First_base,P
11,1105.0,3244.0,357.0,819.0,130.0,26.0,35.0,285.0,390.0,341.0,0.252,0.335,0.341,0.969,Shortstop,P
22,2030.0,6754.0,990.0,1977.0,347.0,99.0,95.0,920.0,820.0,598.0,0.293,0.372,0.416,0.99,First_base,P
17,2006.0,7310.0,1084.0,2087.0,436.0,60.0,199.0,976.0,664.0,938.0,0.285,0.35,0.443,0.985,Outfield,P
17,2124.0,7927.0,1131.0,2351.0,417.0,27.0,379.0,1365.0,588.0,1169.0,0.297,0.353,0.499,0.99,First_base,N
18,1329.0,4069.0,393.0,998.0,190.0,15.0,59.0,436.0,320.0,450.0,0.245,0.304,0.343,0.99,Catcher,P
12,829.0,2261.0,320.0,624.0,96.0,26.0,105.0,374.0,212.0,392.0,0.276,0.343,0.481,0.976,Outfield,P
17,2073.0,7162.0,977.0,1868.0,328.0,21.0,316.0,1139.0,1012.0,1235.0,0.261,0.357,0.445,0.961,Third_base,P
17,2175.0,7571.0,912.0,2109.0,392.0,42.0,185.0,972.0,632.0,926.0,0.279,0.336,0.415,0.993,First_base,P
17,1287.0,4297.0,797.0,1273.0,200.0,79.0,20.0,596.0,554.0,29.0,0.296,0.394,0.394,0.987,First_base,N
11,915.0,2113.0,237.0,458.0,75.0,17.0,14.0,190.0,238.0,471.0,0.217,0.297,0.288,0.959,Shortstop,P
11,1368.0,4988.0,754.0,1329.0,210.0,52.0,180.0,773.0,562.0,682.0,0.266,0.342,0.438,0.972,Outfield,P
15,1717.0,6478.0,1144.0,1958.0,407.0,107.0,90.0,977.0,824.0,556.0,0.302,0.383,0.44,0.967,Outfield,P
15,1919.0,7417.0,980.0,2158.0,322.0,124.0,57.0,941.0,276.0,306.0,0.291,0.319,0.391,0.98,First_base,P
13,1456.0,5618.0,1214.0,1720.0,205.0,100.0,20.0,654.0,991.0,117.0,0.306,0.416,0.389,0.93,Second_base,P
10,502.0,1495.0,135.0,356.0,49.0,9.0,41.0,179.0,115.0,242.0,0.238,0.296,0.365,0.983,Catcher,P
10,969.0,3054.0,370.0,808.0,133.0,48.0,44.0,321.0,221.0,474.0,0.265,0.317,0.383,0.974,Outfield,P
18,1994.0,6847.0,1118.0,1826.0,332.0,39.0,340.0,1180.0,1262.0,1441.0,0.267,0.383,0.476,0.978,Outfield,P
21,2242.0,8568.0,1619.0,2672.0,361.0,220.0,67.0,1015.0,874.0,135.0,0.312,0.386,0.429,0.952,Outfield,N
