year,gq,gqtypeg,farm,ownershg,value,rent,ftotinc,nfams,ncouples,nmothers,nfathers,momloc,stepmom,momrule,poploc,steppop,poprule,sploc,sprule,famsize,nchild,nchlt5,famunit,eldch,yngch,nsibs,relateg,age,sex,raceg,marst,chborn,school,educrec,schltype,empstatg,labforce,occscore,sei,classwkg,wkswork2,hrswork2,yrlastwk,workedyr,inctot,incwage,incbus,incfarm,incss,incwelfr,incother,poverty,migrat5g,movedin,vetstat,binaryClass
99,HH_in_1970_definition_but_sampled_as_larger_unit,NA_(household),Non-Farm,Rented,999999.0,675.0,32096.0,1,2,2,2,0,0,0,0,0,0,8,1,11,1,0,1,6,6,2,Sibling,28,Female,White,Married_spouse_present,3,No_not_in_school,Grade_5-8,Not_enrolled,Not_in_labor_force,No_not_in_labor_force,0,0,,,,Never_worked,No,0.0,0.0,0.0,0,0.0,0.0,0.0,128.0,Moved_place_not_reported,0,No_Service,P
99,HH_in_1970_definition_but_sampled_as_larger_unit,NA_(household),Non-Farm,Rented,999999.0,725.0,30800.0,1,1,1,1,0,0,0,0,0,0,1,1,5,3,0,1,37,21,0,Spouse,59,Female,White,Married_spouse_present,9,No_not_in_school,Grade_5-8,Not_enrolled,Not_in_labor_force,No_not_in_labor_force,0,0,,,,Never_worked,No,0.0,0.0,0.0,0,0.0,0.0,0.0,200.0,Same_house,0,No_Service,P
99,HH_in_1970_definition_but_sampled_as_larger_unit,NA_(household),Non-Farm,Owned_or_being_bought_(loan),137500.0,0.0,13000.0,1,1,1,1,0,0,0,0,0,0,2,1,5,3,0,1,16,6,0,Head_Householder,36,Male,White,Married_spouse_present,,No_not_in_school,1_to_3_years_of_college,Not_enrolled,Employed,Yes_in_labor_force,10,19,Works_for_wages_salary,14-26_weeks,,Worked_previous_yr,Yes,19000.0,19000.0,0.0,0,0.0,0.0,0.0,88.0,Same_house,6,No_Service,P
99,HH_in_1970_definition_but_sampled_as_larger_unit,NA_(household),Non-Farm,Rented,999999.0,512.0,172746.0,1,1,1,1,0,0,0,0,0,0,1,1,5,2,2,1,2,0,0,Spouse,28,Female,White,Married_spouse_present,2__children,No_not_in_school,Grade_9,Not_enrolled,Employed,Yes_in_labor_force,13,10,Works_for_wages_salary,27-39_weeks,40_hours,,Yes,168246.0,7000.0,123515.0,0,0.0,0.0,0.0,501.0,Same_house,0,No_Service,P
99,Other_group_quarters,Non-institutional_GQ_(1940_1950_1990),Non-Farm,,999999.0,0.0,999999.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,99,99,0,Other_non-relatives,25,Male,Black_Negro,Never_married_single,,No_not_in_school,Grade_12,Not_enrolled,Not_in_labor_force,No_not_in_labor_force,0,0,,,,Worked_6-10_yrs_ago,No,3000.0,0.0,0.0,0,0.0,0.0,3000.0,0.0,Moved_place_not_reported,0,No_Service,P
99,HH_in_1970_definition_but_sampled_as_larger_unit,NA_(household),Non-Farm,Rented,999999.0,312.0,8492.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,99,99,0,Head_Householder,39,Male,White,Never_married_single,,No_not_in_school,1_to_3_years_of_college,Not_enrolled,Unemployed,Yes_in_labor_force,41,68,Works_for_wages_salary,1-13_weeks,,Worked_current_yr,Yes,8492.0,4176.0,0.0,0,0.0,0.0,4316.0,132.0,Same_house,5,Yes,P
99,HH_in_1970_definition_but_sampled_as_larger_unit,NA_(household),Non-Farm,Owned_or_being_bought_(loan),350000.0,0.0,115000.0,1,1,1,1,2,0,1,1,0,1,0,0,3,0,0,1,99,99,0,Child,19,Male,White,Never_married_single,,Yes_in_school,1_to_3_years_of_college,Public_school,Employed,Yes_in_labor_force,18,44,Works_for_wages_salary,50-52_weeks,15-29_hours,,Yes,12000.0,12000.0,0.0,0,0.0,0.0,0.0,501.0,Same_house,0,No_Service,P
99,HH_in_1970_definition_but_sampled_as_larger_unit,NA_(household),Non-Farm,Owned_or_being_bought_(loan),137500.0,0.0,19357.0,1,0,1,0,0,0,0,0,0,0,0,0,2,1,0,1,14,14,0,Head_Householder,40,Female,Black_Negro,Divorced,2__children,Yes_in_school,1_to_3_years_of_college,Public_school,Employed,Yes_in_labor_force,22,61,Works_for_wages_salary,27-39_weeks,15-29_hours,,Yes,19357.0,19000.0,0.0,0,0.0,0.0,357.0,226.0,Same_house,7,No_Service,P
99,HH_in_1970_definition_but_sampled_as_larger_unit,NA_(household),Non-Farm,Owned_or_being_bought_(loan),350000.0,0.0,87980.0,1,1,1,1,2,0,1,1,0,1,0,0,5,0,0,1,99,99,2,Child,16,Male,Other_Asian_or_Pacific,Never_married_single,,Yes_in_school,Grade_10,Private_school_(19601990),Not_in_labor_force,No_not_in_labor_force,0,0,,,,Never_worked,No,0.0,0.0,0.0,0,0.0,0.0,0.0,501.0,Same_house,0,No_Service,P
99,HH_in_1970_definition_but_sampled_as_larger_unit,NA_(household),Non-Farm,Owned_or_being_bought_(loan),162500.0,0.0,28000.0,1,1,1,1,0,0,0,0,0,0,1,1,5,3,1,1,13,2,0,Spouse,31,Female,White,Married_spouse_present,3,No_not_in_school,Grade_12,Not_enrolled,Employed,Yes_in_labor_force,22,61,Works_for_wages_salary,48-49_weeks,40_hours,,Yes,14000.0,14000.0,0.0,0,0.0,0.0,0.0,189.0,Same_house,0,No_Service,P
99,HH_in_1970_definition_but_sampled_as_larger_unit,NA_(household),Non-Farm,Rented,999999.0,675.0,26530.0,1,1,1,1,0,0,0,0,0,0,2,1,3,1,0,1,29,29,0,Head_Householder,53,Male,White,Married_spouse_present,,No_not_in_school,Grade_12,Not_enrolled,Employed,Yes_in_labor_force,23,18,Works_for_wages_salary,1-13_weeks,40_hours,,Yes,9507.0,5191.0,0.0,0,0.0,0.0,4316.0,274.0,Moved_place_not_reported,1,Yes,P
99,HH_in_1970_definition_but_sampled_as_larger_unit,NA_(household),Non-Farm,Owned_or_being_bought_(loan),225000.0,0.0,70920.0,1,1,1,1,0,0,0,0,0,0,1,1,4,2,0,1,16,13,0,Spouse,42,Female,White,Married_spouse_present,2__children,No_not_in_school,1_to_3_years_of_college,Not_enrolled,Employed,Yes_in_labor_force,22,51,Works_for_wages_salary,50-52_weeks,40_hours,,Yes,29120.0,29120.0,0.0,0,0.0,0.0,0.0,501.0,Same_house,0,No_Service,P
99,HH_in_1970_definition_but_sampled_as_larger_unit,NA_(household),Non-Farm,Rented,999999.0,487.0,12461.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,99,99,0,Head_Householder,46,Male,White,Divorced,,Yes_in_school,4+_years_of_college,Public_school,Unemployed,Yes_in_labor_force,31,65,Works_for_wages_salary,1-13_weeks,,Worked_previous_yr,Yes,12461.0,224.0,0.0,0,0.0,6695.0,5112.0,193.0,Moved_place_not_reported,1,Yes,P
99,HH_in_1970_definition_but_sampled_as_larger_unit,NA_(household),Non-Farm,Rented,999999.0,625.0,17000.0,1,1,1,1,2,0,1,1,0,1,0,0,5,0,0,1,99,99,2,Child,3,Male,White,Never_married_single,,No_not_in_school,None_or_preschool,Not_enrolled,,,0,0,,,,,,0.0,999999.0,999999.0,999999,99999.0,99999.0,99999.0,115.0,,0,,P
99,HH_in_1970_definition_but_sampled_as_larger_unit,NA_(household),Non-Farm,Owned_or_being_bought_(loan),400000.0,0.0,48400.0,1,1,1,1,0,0,0,0,0,0,2,1,4,2,0,1,12,11,0,Head_Householder,40,Male,White,Married_spouse_present,,No_not_in_school,1_to_3_years_of_college,Not_enrolled,Employed,Yes_in_labor_force,32,62,Works_for_wages_salary,50-52_weeks,40_hours,,Yes,47800.0,47800.0,0.0,0,0.0,0.0,0.0,385.0,Same_house,6,No_Service,P
99,HH_in_1970_definition_but_sampled_as_larger_unit,NA_(household),Non-Farm,Rented,999999.0,675.0,11000.0,3,0,1,1,6,0,6,0,0,0,0,0,2,0,0,3,99,99,0,Other_non-relatives,13,Male,White,Never_married_single,,Yes_in_school,Grade_5-8,Public_school,,,0,0,,,,,,0.0,999999.0,999999.0,999999,99999.0,99999.0,99999.0,1.0,Same_house,0,,P
99,HH_in_1970_definition_but_sampled_as_larger_unit,NA_(household),Non-Farm,Rented,999999.0,512.0,26512.0,1,1,0,0,0,0,0,0,0,0,2,1,2,0,0,1,99,99,0,Head_Householder,28,Male,White,Married_spouse_present,,No_not_in_school,4+_years_of_college,Not_enrolled,Employed,Yes_in_labor_force,27,31,Works_for_wages_salary,50-52_weeks,40_hours,,Yes,26512.0,26300.0,0.0,0,0.0,0.0,0.0,319.0,Moved_place_not_reported,2,No_Service,P
99,Institution,Institution_(1990),Non-Farm,,999999.0,0.0,999999.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,99,99,0,Institutional_inmates,79,Female,White,Widowed,3,No_not_in_school,4+_years_of_college,Not_enrolled,Not_in_labor_force,No_not_in_labor_force,0,0,,,,Worked_more_than_10_yrs_ago,No,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,Moved_place_not_reported,0,No_Service,P
99,HH_in_1970_definition_but_sampled_as_larger_unit,NA_(household),Non-Farm,Owned_or_being_bought_(loan),137500.0,0.0,20840.0,1,1,1,1,0,0,0,0,0,0,2,1,3,1,0,1,10,10,0,Head_Householder,51,Male,White,Married_spouse_present,,No_not_in_school,Grade_12,Not_enrolled,Employed,Yes_in_labor_force,25,22,Works_for_wages_salary,40-47_weeks,40_hours,,Yes,15840.0,15840.0,0.0,0,0.0,0.0,0.0,209.0,Same_house,6,No_Service,P
99,HH_in_1970_definition_but_sampled_as_larger_unit,NA_(household),Non-Farm,Rented,999999.0,512.0,42000.0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,99,99,2,Sibling,32,Male,Other_Asian_or_Pacific,Never_married_single,,No_not_in_school,Grade_12,Not_enrolled,Employed,Yes_in_labor_force,16,15,Works_for_wages_salary,40-47_weeks,40_hours,,Yes,12000.0,12000.0,0.0,0,0.0,0.0,0.0,433.0,Moved_place_not_reported,0,No_Service,N
99,HH_in_1970_definition_but_sampled_as_larger_unit,NA_(household),Non-Farm,Owned_or_being_bought_(loan),162500.0,0.0,90929.0,1,0,1,0,1,0,1,0,0,0,0,0,4,0,0,1,99,99,2,Child,21,Male,White,Never_married_single,,No_not_in_school,Grade_12,Not_enrolled,Employed,Yes_in_labor_force,24,19,Works_for_wages_salary,40-47_weeks,40_hours,,Yes,15000.0,15000.0,0.0,0,0.0,0.0,0.0,501.0,Same_house,0,No_Service,P
99,HH_in_1970_definition_but_sampled_as_larger_unit,NA_(household),Non-Farm,Rented,999999.0,412.0,32285.0,1,0,0,1,0,0,0,1,0,1,0,0,5,0,0,1,99,99,3,Child,12,Male,White,Never_married_single,,Yes_in_school,Grade_5-8,Public_school,,,0,0,,,,,,0.0,999999.0,999999.0,999999,99999.0,99999.0,99999.0,206.0,Moved_place_not_reported,0,,P
99,HH_in_1970_definition_but_sampled_as_larger_unit,NA_(household),Non-Farm,Owned_or_being_bought_(loan),162500.0,0.0,15000.0,1,1,0,0,0,0,0,0,0,0,2,1,2,0,0,1,99,99,0,Head_Householder,60,Male,Black_Negro,Married_spouse_present,,No_not_in_school,Grade_12,Not_enrolled,Not_in_labor_force,No_not_in_labor_force,0,0,,,,Worked_6-10_yrs_ago,No,15000.0,0.0,0.0,0,0.0,0.0,0.0,181.0,Same_house,6,Yes,P
99,HH_in_1970_definition_but_sampled_as_larger_unit,NA_(household),Non-Farm,Owned_or_being_bought_(loan),162500.0,0.0,29449.0,1,1,1,1,0,0,0,0,0,0,2,1,4,2,0,1,20,10,0,Head_Householder,62,Male,White,Married_spouse_present,,No_not_in_school,Grade_5-8,Not_enrolled,Not_in_labor_force,No_not_in_labor_force,0,0,,,,Worked_more_than_10_yrs_ago,No,6360.0,0.0,0.0,0,0.0,6360.0,0.0,227.0,Same_house,6,No_Service,P
99,HH_in_1970_definition_but_sampled_as_larger_unit,NA_(household),Non-Farm,Owned_or_being_bought_(loan),162500.0,0.0,52000.0,1,0,1,0,2,0,1,0,0,0,0,0,2,0,0,1,99,99,0,Head_Householder,43,Male,White,Never_married_single,,No_not_in_school,4+_years_of_college,Not_enrolled,Employed,Yes_in_labor_force,27,72,Works_for_wages_salary,50-52_weeks,49-59_hours,,Yes,42000.0,33000.0,0.0,0,0.0,0.0,0.0,501.0,Same_house,5,No_Service,P
99,HH_in_1970_definition_but_sampled_as_larger_unit,NA_(household),Non-Farm,Owned_or_being_bought_(loan),400000.0,0.0,201316.0,1,1,1,1,0,0,0,0,0,0,2,1,3,1,1,1,3,3,0,Head_Householder,33,Male,White,Married_spouse_present,,No_not_in_school,1_to_3_years_of_college,Not_enrolled,Employed,Yes_in_labor_force,31,65,Works_for_wages_salary,50-52_weeks,60+_hours,,Yes,199316.0,195516.0,0.0,0,0.0,0.0,0.0,501.0,Moved_place_not_reported,2,No_Service,P
99,HH_in_1970_definition_but_sampled_as_larger_unit,NA_(household),Non-Farm,Rented,999999.0,1000.0,21010.0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,99,99,0,Partner_friend_visitor,25,Male,White,Never_married_single,,Yes_in_school,4+_years_of_college,Public_school,Employed,Yes_in_labor_force,11,18,Works_for_wages_salary,40-47_weeks,40_hours,,Yes,24800.0,24000.0,0.0,0,0.0,0.0,0.0,384.0,Moved_place_not_reported,0,No_Service,N
99,HH_in_1970_definition_but_sampled_as_larger_unit,NA_(household),Non-Farm,Rented,999999.0,575.0,1500.0,1,1,1,1,0,0,0,0,0,0,2,1,5,3,1,1,11,1,0,Head_Householder,34,Male,White,Married_spouse_present,,No_not_in_school,None_or_preschool,Not_enrolled,Employed,Yes_in_labor_force,23,18,Works_for_wages_salary,14-26_weeks,1-14_hours,,Yes,1500.0,1500.0,0.0,0,0.0,0.0,0.0,10.0,Same_house,2,No_Service,P
99,HH_in_1970_definition_but_sampled_as_larger_unit,NA_(household),Non-Farm,Rented,999999.0,1000.0,32200.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,99,99,0,Head_Householder,40,Male,White,Divorced,,No_not_in_school,1_to_3_years_of_college,Not_enrolled,Employed,Yes_in_labor_force,24,47,Works_for_wages_salary,50-52_weeks,41-48_hours,,Yes,32200.0,32000.0,0.0,0,0.0,0.0,0.0,499.0,Moved_place_not_reported,1,No_Service,P
99,HH_in_1970_definition_but_sampled_as_larger_unit,NA_(household),Non-Farm,Rented,999999.0,112.0,12192.0,1,1,0,0,0,0,0,0,0,0,1,1,2,0,0,1,99,99,0,Spouse,76,Female,White,Married_spouse_present,4,No_not_in_school,Grade_1-4,Not_enrolled,Not_in_labor_force,No_not_in_labor_force,0,0,,,,Worked_6-10_yrs_ago,No,5448.0,0.0,0.0,0,3984.0,1464.0,0.0,163.0,Same_house,0,No_Service,P
99,HH_in_1970_definition_but_sampled_as_larger_unit,NA_(household),Non-Farm,Rented,999999.0,875.0,31800.0,1,1,1,1,2,0,1,1,0,1,0,0,5,0,0,1,99,99,2,Child,16,Male,White,Never_married_single,,Yes_in_school,Grade_5-8,Public_school,Not_in_labor_force,No_not_in_labor_force,0,0,,,,Never_worked,No,0.0,0.0,0.0,0,0.0,0.0,0.0,210.0,Moved_place_not_reported,0,No_Service,P
99,HH_in_1970_definition_but_sampled_as_larger_unit,NA_(household),Non-Farm,Rented,999999.0,575.0,16000.0,1,1,1,1,2,7,1,1,0,1,0,0,7,0,0,1,99,99,4,Child,9,Female,White,Never_married_single,,No_not_in_school,Grade_1-4,Not_enrolled,,,0,0,,,,,,0.0,999999.0,999999.0,999999,99999.0,99999.0,99999.0,86.0,Moved_place_not_reported,0,,P
99,HH_in_1970_definition_but_sampled_as_larger_unit,NA_(household),Non-Farm,Rented,999999.0,262.0,31000.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,99,99,0,Head_Householder,57,Female,Japanese,Widowed,No_children,No_not_in_school,Grade_12,Not_enrolled,Employed,Yes_in_labor_force,32,42,Works_for_wages_salary,48-49_weeks,41-48_hours,,Yes,31000.0,30000.0,0.0,0,0.0,0.0,0.0,481.0,Same_house,7,No_Service,P
99,HH_in_1970_definition_but_sampled_as_larger_unit,NA_(household),Non-Farm,Owned_or_being_bought_(loan),37500.0,0.0,13800.0,1,1,0,0,0,0,0,0,0,0,2,1,2,0,0,1,99,99,0,Head_Householder,66,Male,White,Married_spouse_present,,No_not_in_school,Grade_12,Not_enrolled,Not_in_labor_force,No_not_in_labor_force,0,0,,,,Worked_6-10_yrs_ago,No,13800.0,0.0,0.0,0,9600.0,0.0,0.0,184.0,Same_house,7,Yes,P
99,HH_in_1970_definition_but_sampled_as_larger_unit,NA_(household),Non-Farm,Owned_or_being_bought_(loan),350000.0,0.0,96380.0,1,1,1,1,0,0,0,0,0,0,1,1,5,3,0,1,22,13,0,Spouse,45,Female,White,Married_spouse_present,3,No_not_in_school,4+_years_of_college,Not_enrolled,Employed,Yes_in_labor_force,26,72,Works_for_wages_salary,48-49_weeks,49-59_hours,,Yes,33000.0,33000.0,0.0,0,0.0,0.0,0.0,501.0,Same_house,0,No_Service,P
99,HH_in_1970_definition_but_sampled_as_larger_unit,NA_(household),Non-Farm,Owned_or_being_bought_(loan),400000.0,0.0,70000.0,1,1,1,1,0,0,0,0,0,0,2,2,4,2,0,1,12,9,0,Head_Householder,40,Female,White,Married_spouse_present,2__children,No_not_in_school,4+_years_of_college,Not_enrolled,Employed,Yes_in_labor_force,41,68,Works_for_wages_salary,27-39_weeks,30-34_hours,,Yes,0.0,0.0,0.0,0,0.0,0.0,0.0,501.0,Same_house,6,No_Service,P
99,HH_in_1970_definition_but_sampled_as_larger_unit,NA_(household),Non-Farm,Rented,999999.0,575.0,17300.0,1,1,1,1,0,0,0,0,0,0,2,2,4,1,1,1,3,3,1,Head_Householder,24,Female,White,Married_spouse_present,1_child,No_not_in_school,Grade_12,Not_enrolled,Employed,Yes_in_labor_force,22,18,Works_for_wages_salary,48-49_weeks,41-48_hours,,Yes,6500.0,6500.0,0.0,0,0.0,0.0,0.0,133.0,Moved_place_not_reported,1,No_Service,P
99,HH_in_1970_definition_but_sampled_as_larger_unit,NA_(household),Non-Farm,Owned_or_being_bought_(loan),225000.0,0.0,107300.0,3,1,1,1,0,0,0,0,0,0,0,0,1,0,0,3,99,99,0,Other_non-relatives,21,Female,Chinese,Never_married_single,No_children,Yes_in_school,1_to_3_years_of_college,Public_school,Not_in_labor_force,No_not_in_labor_force,0,0,,,,Never_worked,No,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,Moved_place_not_reported,0,No_Service,P
99,HH_in_1970_definition_but_sampled_as_larger_unit,NA_(household),Non-Farm,Rented,999999.0,462.0,12160.0,2,1,1,1,2,0,1,1,0,1,0,0,8,0,0,1,99,99,4,Child,0,Female,White,Never_married_single,,,,,,,0,0,,,,,,0.0,999999.0,999999.0,999999,99999.0,99999.0,99999.0,58.0,,0,,P
99,HH_in_1970_definition_but_sampled_as_larger_unit,NA_(household),Non-Farm,Rented,999999.0,537.0,26967.0,1,1,1,1,0,0,0,0,0,0,2,1,4,1,0,1,5,5,0,Head_Householder,40,Male,Other_Asian_or_Pacific,Married_spouse_present,,Yes_in_school,4+_years_of_college,Public_school,Employed,Yes_in_labor_force,41,68,Works_for_wages_salary,48-49_weeks,41-48_hours,,Yes,11967.0,11967.0,0.0,0,0.0,0.0,0.0,207.0,Moved_place_not_reported,1,No_Service,P
